text,preprocess_texts,preprocess_texts_no_symboll,tokens
@rastakhiz_ حتی قبل‌تر یه گروه تحقیقاتی فیلمی گرفتن که فکهای آبی که نتوانستن تو فصل جفتگیری ماده پیدا کنند به پنگئون تجاوز کردن,حتی قبل‌تر یه گروه تحقیقاتی فیلمی گرفتن که فکهای آبی که نتوانستن تو فصل جفتگیری ماده پیدا کنند به پنگئون تجاوز کردن,حتی قبلتر یه گروه تحقیقاتی فیلمی گرفتن که فکهای آبی که نتوانستن تو فصل جفتگیری ماده پیدا کنند به پنگئون تجاوز کردن,"['حتی', 'قبلتر', 'یه', 'گروه', 'تحقیقاتی', 'فیلمی', 'گرفتن', 'که', 'فکهای', 'آبی', 'که', 'نتوانستن', 'تو', 'فصل', 'جفتگیری', 'ماده', 'پیدا', 'کنند', 'به', 'پنگئون', 'تجاوز', 'کردن']"
"RT @Mostafa05655923: بایکی تو تلگرام چت میکردم و گفتم من عاشق محصولات سرفیسم.
از همون روز توی توییتر تبلیغات سرفیس واسم نمایش داده میشه.
طب…",بایکی تو تلگرام چت میکردم و گفتم من عاشق محصولات سرفیسماز همون روز توی توییتر تبلیغات سرفیس واسم نمایش داده میشهطب,بایکی تو تلگرام چت میکردم و گفتم من عاشق محصولات سرفیسماز همون روز توی توییتر تبلیغات سرفیس واسم نمایش داده میشهطب,"['بایکی', 'تو', 'تلگرام', 'چت', 'میکردم', 'و', 'گفتم', 'من', 'عاشق', 'محصولات', 'سرفیسماز', 'همون', 'روز', 'توی', 'توییتر', 'تبلیغات', 'سرفیس', 'واسم', 'نمایش', 'داده', 'میشهطب']"
@PAHLEVANl بابا اینا خیلی رو دارن,بابا اینا خیلی رو دارن,بابا اینا خیلی رو دارن,"['بابا', 'اینا', 'خیلی', 'رو', 'دارن']"
@ir_yasan ببخششششید😂😂 https://t.co/gTE0n0Nn1h,ببخششششید,ببخششششید,['ببخششششید']
RT @saeedghasemi_ir: به لطف خدا جناب اقای حسن روحانی مجددا با شعار دولت تدبیر و امید در انتخابات ثبت نام فرمودند. #علی_برکت_الله https://t.…,به لطف خدا جناب اقای حسن روحانی مجددا با شعار دولت تدبیر و امید در انتخابات ثبت نام فرمودند  علی برکت الله,به لطف خدا جناب اقای حسن روحانی مجددا با شعار دولت تدبیر و امید در انتخابات ثبت نام فرمودند  علی برکت الله,"['به', 'لطف', 'خدا', 'جناب', 'اقای', 'حسن', 'روحانی', 'مجددا', 'با', 'شعار', 'دولت', 'تدبیر', 'و', 'امید', 'در', 'انتخابات', 'ثبت', 'نام', 'فرمودند', 'علی', 'برکت', 'الله']"
@planet_b9 هرچي هس از مال خودت بهترع فعلا اينو داشتع باش تا جنس جديد بياد برام,هرچي هس از مال خودت بهترع فعلا اينو داشتع باش تا جنس جديد بياد برام,هرچي هس از مال خودت بهترع فعلا اينو داشتع باش تا جنس جديد بياد برام,"['هرچي', 'هس', 'از', 'مال', 'خودت', 'بهترع', 'فعلا', 'اينو', 'داشتع', 'باش', 'تا', 'جنس', 'جديد', 'بياد', 'برام']"
"به خودم ک نگاه میکنم 
میبینم هرچقدر ثبات شخصیتی دارم 
همونقدر ثبات روحی ندارم
و اینه که اشفتم میکنه
و واقعا نمیدونم… https://t.co/oXHt2Btn3H",به خودم ک نگاه میکنم میبینم هرچقدر ثبات شخصیتی دارم همونقدر ثبات روحی ندارمو اینه که اشفتم میکنهو واقعا نمیدونم,به خودم ک نگاه میکنم میبینم هرچقدر ثبات شخصیتی دارم همونقدر ثبات روحی ندارمو اینه که اشفتم میکنهو واقعا نمیدونم,"['به', 'خودم', 'ک', 'نگاه', 'میکنم', 'میبینم', 'هرچقدر', 'ثبات', 'شخصیتی', 'دارم', 'همونقدر', 'ثبات', 'روحی', 'ندارمو', 'اینه', 'که', 'اشفتم', 'میکنهو', 'واقعا', 'نمیدونم']"
@aliabbasi_o @Tinazabmm ولی من حس میکنم تو یکی از اسپیسا بودی 😐😂,ولی من حس میکنم تو یکی از اسپیسا بودی,ولی من حس میکنم تو یکی از اسپیسا بودی,"['ولی', 'من', 'حس', 'میکنم', 'تو', 'یکی', 'از', 'اسپیسا', 'بودی']"
"RT @abbasezeynab: اینم حالو روز ماهاست دیگه
فلسطینی ها کاری کردند که هر شب باید با یه مشت تخمه بشینیم پای تلویزیون موشک خوردن اسرائیل رو تم…",اینم حالو روز ماهاست دیگهفلسطینی ها کاری کردند که هر شب باید با یه مشت تخمه بشینیم پای تلویزیون موشک خوردن اسرائیل رو تم,اینم حالو روز ماهاست دیگهفلسطینی ها کاری کردند که هر شب باید با یه مشت تخمه بشینیم پای تلویزیون موشک خوردن اسرائیل رو تم,"['اینم', 'حالو', 'روز', 'ماهاست', 'دیگهفلسطینی', 'ها', 'کاری', 'کردند', 'که', 'هر', 'شب', 'باید', 'با', 'یه', 'مشت', 'تخمه', 'بشینیم', 'پای', 'تلویزیون', 'موشک', 'خوردن', 'اسرائیل', 'رو', 'تم']"
@moolook93 ما میگیم سر و ته یه گوهن . باز تو میای سوا میکنی .,ما میگیم سر و ته یه گوهن  باز تو میای سوا میکنی,ما میگیم سر و ته یه گوهن  باز تو میای سوا میکنی,"['ما', 'میگیم', 'سر', 'و', 'ته', 'یه', 'گوهن', 'باز', 'تو', 'میای', 'سوا', 'میکنی']"
@ali_s1352 مخالفان آزادی؟ ایشون خودش سردسته مخالفان آزادیه که برای شهوت قدرت ملتو به آشوب دعوت کرد و هشت ماه هزینه… https://t.co/fNnBzRNYF1,مخالفان آزادی ایشون خودش سردسته مخالفان آزادیه که برای شهوت قدرت ملتو به آشوب دعوت کرد و هشت ماه هزینه,مخالفان آزادی ایشون خودش سردسته مخالفان آزادیه که برای شهوت قدرت ملتو به آشوب دعوت کرد و هشت ماه هزینه,"['مخالفان', 'آزادی', 'ایشون', 'خودش', 'سردسته', 'مخالفان', 'آزادیه', 'که', 'برای', 'شهوت', 'قدرت', 'ملتو', 'به', 'آشوب', 'دعوت', 'کرد', 'و', 'هشت', 'ماه', 'هزینه']"
@itsthelamo میدونن قهرمانی دوره استرس نمیگیرن پوستشون سالم میمونه,میدونن قهرمانی دوره استرس نمیگیرن پوستشون سالم میمونه,میدونن قهرمانی دوره استرس نمیگیرن پوستشون سالم میمونه,"['میدونن', 'قهرمانی', 'دوره', 'استرس', 'نمیگیرن', 'پوستشون', 'سالم', 'میمونه']"
"RT @fairyshadi: ۲۰۰۰ خورده ایتون اینو فالو دارید!
@weareoneEXO https://t.co/NAZlex3dBB",۲۰۰۰ خورده ایتون اینو فالو دارید,۲۰۰۰ خورده ایتون اینو فالو دارید,"['۲۰۰۰', 'خورده', 'ایتون', 'اینو', 'فالو', 'دارید']"
@isna_farsi مردم تَکرار کنید🤣🤣,مردم تَکرار کنید,مردم تَکرار کنید,"['مردم', 'تَکرار', 'کنید']"
RT @ARIEL98899103: @Nazi_LS @spideabbasi_ منم زیر پنجام,منم زیر پنجام,منم زیر پنجام,"['منم', 'زیر', 'پنجام']"
@qualitystreettt تو اصلا خودتو اصطوره ی مظلوما میدونی,تو اصلا خودتو اصطوره ی مظلوما میدونی,تو اصلا خودتو اصطوره ی مظلوما میدونی,"['تو', 'اصلا', 'خودتو', 'اصطوره', 'ی', 'مظلوما', 'میدونی']"
@justalireza @Mahdi7989 @DrSaeedJalili این منطق خیلی ضعیفه این عزیزان دنبال این هستند که سکان کشور رو انتقلابیها به… https://t.co/kQ1DK5yKn0,این منطق خیلی ضعیفه این عزیزان دنبال این هستند که سکان کشور رو انتقلابیها به,این منطق خیلی ضعیفه این عزیزان دنبال این هستند که سکان کشور رو انتقلابیها به,"['این', 'منطق', 'خیلی', 'ضعیفه', 'این', 'عزیزان', 'دنبال', 'این', 'هستند', 'که', 'سکان', 'کشور', 'رو', 'انتقلابیها', 'به']"
RT @IranCfppi: جمعی از کارگران شرکت کشت و صنعت میرزا کوچک خان واقع در شهرستان خرمشهر در استان خوزستان روز پنجشنبه ۲۳ اردیبهشت ماه، با برپای…,جمعی از کارگران شرکت کشت و صنعت میرزا کوچک خان واقع در شهرستان خرمشهر در استان خوزستان روز پنجشنبه ۲۳ اردیبهشت ماه با برپای,جمعی از کارگران شرکت کشت و صنعت میرزا کوچک خان واقع در شهرستان خرمشهر در استان خوزستان روز پنجشنبه ۲۳ اردیبهشت ماه با برپای,"['جمعی', 'از', 'کارگران', 'شرکت', 'کشت', 'و', 'صنعت', 'میرزا', 'کوچک', 'خان', 'واقع', 'در', 'شهرستان', 'خرمشهر', 'در', 'استان', 'خوزستان', 'روز', 'پنجشنبه', '۲۳', 'اردیبهشت', 'ماه', 'با', 'برپای']"
RT @adam_hesabi: رضا کفتر باز حتی از کفترا و پرنده هاشم نمیتونه محافظت کنه ، اونوقت یه عده همچنان میرن دخیل میبندن که سرطانشون خوب شه ! 😏 h…,رضا کفتر باز حتی از کفترا و پرنده هاشم نمیتونه محافظت کنه  اونوقت یه عده همچنان میرن دخیل میبندن که سرطانشون خوب شه   h,رضا کفتر باز حتی از کفترا و پرنده هاشم نمیتونه محافظت کنه  اونوقت یه عده همچنان میرن دخیل میبندن که سرطانشون خوب شه   h,"['رضا', 'کفتر', 'باز', 'حتی', 'از', 'کفترا', 'و', 'پرنده', 'هاشم', 'نمیتونه', 'محافظت', 'کنه', 'اونوقت', 'یه', 'عده', 'همچنان', 'میرن', 'دخیل', 'میبندن', 'که', 'سرطانشون', 'خوب', 'شه', 'h']"
تف به حیات.,تف به حیات,تف به حیات,"['تف', 'به', 'حیات']"
"صدا و سیما پادگانیه که سربازانش زیر دست سرهنگ لاریجانی تربیت شدند.
#انتخابات_۱۴۰۰ 
#رئيسی_بیا",صدا و سیما پادگانیه که سربازانش زیر دست سرهنگ لاریجانی تربیت شدند انتخابات ۱۴۰۰  رئيسی بیا,صدا و سیما پادگانیه که سربازانش زیر دست سرهنگ لاریجانی تربیت شدند انتخابات ۱۴۰۰  رئيسی بیا,"['صدا', 'و', 'سیما', 'پادگانیه', 'که', 'سربازانش', 'زیر', 'دست', 'سرهنگ', 'لاریجانی', 'تربیت', 'شدند', 'انتخابات', '۱۴۰۰', 'رئيسی', 'بیا']"
@Kharmagas8 حیف از گلوله؛ اینها رو باید با قرص برنج کشت.,حیف از گلوله؛ اینها رو باید با قرص برنج کشت,حیف از گلوله؛ اینها رو باید با قرص برنج کشت,"['حیف', 'از', 'گلوله', '؛', 'اینها', 'رو', 'باید', 'با', 'قرص', 'برنج', 'کشت']"
"RT @mozhgon_siah: نمیخواین یه حالی بدین 
تا ۳کا آدم با مرام دور هم جمع بشیم 😜❤🐞",نمیخواین یه حالی بدین تا ۳کا آدم با مرام دور هم جمع بشیم ❤,نمیخواین یه حالی بدین تا ۳کا آدم با مرام دور هم جمع بشیم ,"['نمیخواین', 'یه', 'حالی', 'بدین', 'تا', '۳', 'کا', 'آدم', 'با', 'مرام', 'دور', 'هم', 'جمع', 'بشیم']"
"RT @AzadiiFarhad: تو بمیر.! 
قول میدم نامت به نکویی ببرم.... 
#نه_به_جمهوری_اسلامی",تو بمیر قول میدم نامت به نکویی ببرم  نه به جمهوری اسلامی,تو بمیر قول میدم نامت به نکویی ببرم  نه به جمهوری اسلامی,"['تو', 'بمیر', 'قول', 'میدم', 'نامت', 'به', 'نکویی', 'ببرم', 'نه', 'به', 'جمهوری', 'اسلامی']"
RT @iraneazad99: @AntiProp_aganda رئیسی جاش خوبه یحتمل نظر عاقا این دفعه به لاریجانی نزدیکه لابد برای رهبری مجتبی هم با دو تاشون توافق شده,رئیسی جاش خوبه یحتمل نظر عاقا این دفعه به لاریجانی نزدیکه لابد برای رهبری مجتبی هم با دو تاشون توافق شده,رئیسی جاش خوبه یحتمل نظر عاقا این دفعه به لاریجانی نزدیکه لابد برای رهبری مجتبی هم با دو تاشون توافق شده,"['رئیسی', 'جاش', 'خوبه', 'یحتمل', 'نظر', 'عاقا', 'این', 'دفعه', 'به', 'لاریجانی', 'نزدیکه', 'لابد', 'برای', 'رهبری', 'مجتبی', 'هم', 'با', 'دو', 'تاشون', 'توافق', 'شده']"
"RT @bahargods: نمایندگان محترم مجلس!
مستحضر هستید که مذاکرات وین به سرپرستی آقای عراقچی ،برخلاف دستور معظمٌ له فرسایشی شده وبرای بار چندم ا…",نمایندگان محترم مجلسمستحضر هستید که مذاکرات وین به سرپرستی آقای عراقچی برخلاف دستور معظمٌ له فرسایشی شده وبرای بار چندم ا,نمایندگان محترم مجلسمستحضر هستید که مذاکرات وین به سرپرستی آقای عراقچی برخلاف دستور معظمٌ له فرسایشی شده وبرای بار چندم ا,"['نمایندگان', 'محترم', 'مجلسمستحضر', 'هستید', 'که', 'مذاکرات', 'وین', 'به', 'سرپرستی', 'آقای', 'عراقچی', 'برخلاف', 'دستور', 'معظمٌ', 'له', 'فرسایشی', 'شده', 'وبرای', 'بار', 'چندم', 'ا']"
@Narengi92 فکر کن تو که دلت اینجوری سوخت من چی میکشم😔,فکر کن تو که دلت اینجوری سوخت من چی میکشم,فکر کن تو که دلت اینجوری سوخت من چی میکشم,"['فکر', 'کن', 'تو', 'که', 'دلت', 'اینجوری', 'سوخت', 'من', 'چی', 'میکشم']"
@ghoghol_nofski جدی؟,جدی,جدی,['جدی']
"RT @motalitae_2: از بی تی اس ممنونم چون باعث شدن خودمو دوست داشته باشم...
اینکه ببینی ی نفر از خودش راضی و نیست و خودشو دوست نداره خیلی نار…",از بی تی اس ممنونم چون باعث شدن خودمو دوست داشته باشماینکه ببینی ی نفر از خودش راضی و نیست و خودشو دوست نداره خیلی نار,از بی تی اس ممنونم چون باعث شدن خودمو دوست داشته باشماینکه ببینی ی نفر از خودش راضی و نیست و خودشو دوست نداره خیلی نار,"['از', 'بی', 'تی', 'اس', 'ممنونم', 'چون', 'باعث', 'شدن', 'خودمو', 'دوست', 'داشته', 'باشماینکه', 'ببینی', 'ی', 'نفر', 'از', 'خودش', 'راضی', 'و', 'نیست', 'و', 'خودشو', 'دوست', 'نداره', 'خیلی', 'نار']"
